Reference, Quantity, Value, Footprint, Datasheet, MFN, MPN, MPN2, Package, PurchasingLink, Webpage, Purchasing Link
C1 ,1,"C_10uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A106KPFNNNE.pdf","DK","1276-1052-1-ND","","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KPFNNNE/1276-1052-1-ND/3889138","",""
C2 ,1,"C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","","","https://www.digikey.com/products/en?keywords=478-3352-1-ND","",""
C3 ,1,"C_10uF_450V","footprints:C_10uF_450V","https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1202.pdf","","","","","https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEV-EB2W100SM/PCE3597CT-ND/613821","",""
C4 ,1,"C_1uF","Formula:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A105KAFNNNE.pdf","DK","1276-2887-1-ND","","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A105KAFNNNE/1276-2887-1-ND/3890973","",""
C5 ,1,"C_2.2uF","footprints:C_0805_OEM","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_soft_en.pdf","","","","","https://www.digikey.com/product-detail/en/tdk-corporation/C2012X7R1H225M125AE/445-172488-1-ND/4990030","",""
C6 ,1,"C_470pF","footprints:C_0805_OEM","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","","","","","https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB471/311-1124-1-ND/303034","",""
C7 ,1,"C_.22uF","footprints:C_0805_OEM","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_Y5V_6.3V-to-50V_9.pdf","","","","","https://www.digikey.com/product-detail/en/yageo/CC0805ZRY5V9BB224/311-4362-1-ND/8025451","",""
C8 ,1,"C_100uF+","footprints:C_100uF+","https://www.nichicon.co.jp/english/products/pdfs/e-uuq.pdf","","","","","https://www.digikey.com/product-detail/en/nichicon/UUQ1H101MCL1GS/493-3209-2-ND/1965345","",""
C9 ,1,"C_1uF","footprints:C_0805_OEM","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_Y5V_6.3V-to-50V_9.pdf","","","","","https://www.digikey.com/product-detail/en/yageo/CC0805ZKY5V9BB105/311-1909-1-ND/5195811#images","",""
D1 ,1,"LED_0805","footprints:LED_0805_OEM","http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf","DK","475-1410-1-ND","","","https://www.digikey.com/products/en?keywords=475-1410-1-ND","",""
J1 ,1,"Ultrafit_4_RA","footprints:Ultrafit_4_RA","https://www.molex.com/pdm_docs/sd/1723101104_sd.pdf","Digi-Key","WM11574-ND","WM11564-ND","Value","https://www.digikey.com/products/en?keywords=1723101304","",""
J2 ,1,"NanoFit_2","Formula:NanoFit_Molex_1x02x2.50mm_Angled_OEM","https://www.molex.com/pdm_docs/sd/1053131102_sd.pdf","DK","WM14972-ND","","","https://www.digikey.com/products/en/connectors-interconnects/rectangular-connectors-headers-male-pins/314?k=nanofit+2&k=&pkeyword=nanofit+2&pv88=2&pv69=367&sf=0&FV=ffe0013a&quantity=&ColumnSort=0&page=1&pageSize=25","",""
J3 ,1,"MM_F_RA_06","Formula:micromatch_female_ra_6","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338070%7FG1%7Fpdf%7FEnglish%7FENG_CD_338070_G1.pdf%7F338070-6","TE","338070-6","","","http://www.te.com/usa-en/product-338070-6.html","",""
L1 ,1,"L_1.2mH","footprints:L_1.2mH","http://products.sumida.com/products/pdf/RCP1317.pdf","","","","","https://www.digikey.com/product-detail/en/sumida-america-components-inc/RCP1317NP-122L/308-2336-ND/4356405","",""
Q1 Q2 ,2,"SSM3K333R","Formula:SOT-23F","https://drive.google.com/drive/folders/0B-V-iZf33Y4GNzhDQTJZanJRbVk","DK","SSM3K333RLFCT-ND","","","https://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/SSM3K333RLF/SSM3K333RLFCT-ND/3522391","",""
R1 R4 R6 R7 ,4,"R_270K","footprints:R_0805_OEM","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","DK","P270KDACT-ND","","","","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB274V/P270KDACT-ND/1466005",""
R10 ,1,"R_6.04K","footprints:R_0805_OEM","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","","","","","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF6041V/P6.04KCCT-ND/119185","",""
R12 ,1,"R_499","footprints:R_0805_OEM","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","DK","P499CCT-ND","","","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF4990V/P499CCT-ND/118870","",""
R13 R14 ,2,"R_10K","Formula:R_0805_OEM","http://www.bourns.com/data/global/pdfs/CRS.pdf","DK","CRS0805-FX-1002ELFCT-ND","","","https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND","",""
R15 ,1,"R_6.2K","footprints:R_0805_OEM","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","DK","P6.20KCCT-ND","","","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF6201V/P6.20KCCT-ND/1746887","",""
R16 ,1,"R_3K","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","DK","RMCF0805FT3K00CT-ND","","","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT3K00/RMCF0805FT3K00CT-ND/2418389","",""
R2 R11 ,2,"R_1K","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","DK","RNCP0805FTD1K00CT-ND","","","https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND","",""
R3 ,1,"R_137","footprints:R_0805_OEM","~"
R5 R8 ,2,"R_10K","footprints:R_0805_OEM","http://www.bourns.com/data/global/pdfs/CRS.pdf","DK","CRS0805-FX-1002ELFCT-ND","","","https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND","",""
R9 ,1,"R_1.43K","footprints:R_0805_OEM","https://media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/RN73_Series_2011.pdf","DK","A103351CT-ND","","","https://www.digikey.com/product-detail/en/te-connectivity-passive-product/RN73C2A1K43BTDF/A103351CT-ND/2730566","",""
U1 ,1,"MCP6001","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","DK","MCP6001T-I/OTCT-ND","","","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-OT/MCP6001T-I-OTCT-ND/697158","",""
U2 ,1,"Buck_Converter_450V_300mA","footprints:Converter_DCDC_MPS_MP9488","https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP9488/document_id/3748/","","","","","","","https://www.monolithicpower.com/en/mp9488.html"
U3 ,1,"CPC1025NTR","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=10569&prodName=TLP785"
U4 ,1,"BU4S11G2-TR","Formula:SSOP5","http://rohmfs.rohm.com/en/products/databook/datasheet/ic/logic_switch/standard_logic/bu4s11g2-e.pdf","DK","BU4S11G2-TR","","","https://www.digikey.com/product-detail/en/rohm-semiconductor/BU4S11G2-TR/BU4S11G2CT-ND/1158708","",""
U7 U6 U5 ,3,"Diode_600V_1A_SM","footprints:Diode_600V_1A_SM","https://www.st.com/content/ccc/resource/technical/document/datasheet/c7/d5/fe/c4/56/21/41/02/CD00005135.pdf/files/CD00005135.pdf/jcr:content/translations/en.CD00005135.pdf","","","","","","","https://www.digikey.com/product-detail/en/stmicroelectronics/STTH1R06A/497-3765-1-ND/691935"